n 	 cycles 	 flops/cycle
2 	 8.000000 	 1.000000
4 	 14.000000 	 1.142857
8 	 26.000000 	 1.230769
16 	 50.000000 	 1.280000
32 	 98.000000 	 1.306122
64 	 213.000000 	 1.201878
128 	 405.000000 	 1.264198
256 	 795.000000 	 1.288050
512 	 1568.000000 	 1.306122
1024 	 3100.000000 	 1.321290
2048 	 6411.000000 	 1.277804
4096 	 12806.000000 	 1.279400
8192 	 26678.000000 	 1.228278
16384 	 62150.000000 	 1.054481
32768 	 124355.000000 	 1.054015
65536 	 249233.000000 	 1.051803
131072 	 525268.000000 	 0.998134
262144 	 1278798.000000 	 0.819970
524288 	 3214130.000000 	 0.652479
1048576 	 6891044.000000 	 0.608660
2097152 	 13795008.000000 	 0.608090
4194304 	 28234601.000000 	 0.594208
